,,,EM-II,EC,PEHV,PC,ICE,EC LAB,LANG L,,
,,,ENGINEE RING MATHEM,ENGINEE RING CHEMIST,PROFESS IONAL ETHICS &,PHYSICA L CHEMIST,INTRODU CTION TO,ENGINEE RING CHEMIST,LANGUA GE LAB,,
,,,Grade,Grade,Grade,Grade,Grade,Grade,Grade,,
317126502001,9.39,8.88,A+,A+,O,A+,O,O,A+,,
317126502002,9.11,8.78,A,A+,O,O,A+,A+,A+,,
317126502003,7.44,7.55,A,B+,B,A,B+,A+,B+,,
317126502004,6.06,,P,B+,C,C,B+,A,B+,,
317126502005,4.83,,P,C,P,P,P,A,B,,
317126502006,5.67,5.78,B,P,C,B,P,A+,B+,,
317126502007,9.50,9.05,O,A+,A+,O,O,O,A,,
317126502008,9.17,9.10,A+,A+,A,O,A+,O,A+,,
317126502009,8.61,8.25,A,A+,A,O,A,A+,A,,
317126502010,8.72,8.83,A,A+,A+,A+,A+,A+,A,,
317126502011,,,F,P,C,P,P,C,B+,,
317126502012,9.17,8.83,A+,A+,A+,O,A+,A+,A+,,
317126502013,8.17,7.78,A+,B+,B+,O,B+,A,A+,,
317126502014,8.28,8.48,A,A+,A,A,A,A+,A,,
,,,EM-II,EC,PEHV,PC,ICE,EC LAB,LANG L,,
,,,ENGINEE RING MATHEM,ENGINEE RING CHEMIST,PROFESS IONAL ETHICS &,PHYSICA L CHEMIST,INTRODU CTION TO,ENGINEE RING CHEMIST,LANGUA GE LAB,,
,,,Grade,Grade,Grade,Grade,Grade,Grade,Grade,,
317126502015,5.17,,C,P,P,C,C,B+,B+,,
317126502016,8.11,8.10,B+,A,A,A+,A,A+,A,,
317126502017,8.89,8.83,A+,A+,A,A+,A+,A+,A+,,
317126502018,6.78,6.28,B,B+,C,A+,B,B+,B+,,
317126502019,7.78,7.43,B,A,B+,A+,B+,A+,A+,,
317126502020,,,F,F,F,P,F,B,A,,
317126502021,7.28,6.75,B+,B+,C,A,B+,A+,A,,
317126502022,8.61,8.35,A+,A+,A,O,B+,A+,A,,
317126502023,9.17,8.75,O,A+,A+,A+,A+,A+,A+,,
317126502024,,,F,F,P,F,F,C,B+,,
317126502025,9.06,8.98,A+,A+,A+,O,A+,A+,A,,
317126502026,,,F,P,P,F,P,A,B+,,
317126502027,6.22,,P,B,C,B+,B+,A,B+,,
317126502028,4.44,,P,P,P,P,P,C,B+,,
,,,EM-II,EC,PEHV,PC,ICE,EC LAB,LANG L,,
,,,ENGINEE RING MATHEM,ENGINEE RING CHEMIST,PROFESS IONAL ETHICS &,PHYSICA L CHEMIST,INTRODU CTION TO,ENGINEE RING CHEMIST,LANGUA GE LAB,,
,,,Grade,Grade,Grade,Grade,Grade,Grade,Grade,,
317126502029,4.72,,P,P,P,P,C,B,B+,,
317126502030,5.06,5.75,P,P,P,C,P,A+,B+,,
317126502031,8.72,8.55,A+,A+,A,A+,A,O,A,,
,,,EM-II,EC,PE&HV,MCE,CEM,EC LAB,LANG L,,
,,,ENGINEE RING MATHEM,ENGINEE RING CHEMIST,PROFESS IONAL ETHICS &,MATHEM ATICS FOR,CIVIL ENGINEE RING,ENGINEE RING CHEMIST,LANGUA GE LAB,,
,,,Grade,Grade,Grade,Grade,Grade,Grade,Grade,,
